	Sensor	Step Name	Step Type	Time (sec)	Binding (nm)	subtracted
16381	H1	Sensor Check	BASELINE	0.499	-0.003499031	0.0008899994762487039
16382	H1	Sensor Check	BASELINE	0.998	0.007895246	0.009364907779718124
16383	H1	Sensor Check	BASELINE	1.498	1.4755434e-05	0.0009715143240555334
16384	H1	Sensor Check	BASELINE	1.997	0.0045839655	0.006150732316064023
16385	H1	Sensor Check	BASELINE	2.496	0.0070819915	0.0070324698798231115
16386	H1	Sensor Check	BASELINE	2.995	-0.0028886418	-0.005364122767014123
16387	H1	Sensor Check	BASELINE	3.494	0.005250179	0.0010882192626468167
16388	H1	Sensor Check	BASELINE	3.994	0.00095304265	-0.0002638648394622579
16389	H1	Sensor Check	BASELINE	4.493	0.0033133898	0.00010085225662805888
16390	H1	Sensor Check	BASELINE	4.992	0.009515954	0.005773040033864163
16391	H1	Sensor Check	BASELINE	5.491	0.0037795883	0.0003257925025991425
16392	H1	Sensor Check	BASELINE	6.006	0.0057376227	0.0036329655311874375
16393	H1	Sensor Check	BASELINE	6.49	0.008368988	0.0021528420373670087
16394	H1	Sensor Check	BASELINE	7.004	0.0008146175	-0.0038137581097089424
16395	H1	Sensor Check	BASELINE	7.504	0.010633006	0.004581289865063809
16396	H1	Sensor Check	BASELINE	8.003	0.007067471	0.0008387747555843816
16397	H1	Sensor Check	BASELINE	8.502	0.002642059	-0.0045447798576333295
16398	H1	Sensor Check	BASELINE	9.001	0.013032645	0.008806675706046008
16399	H1	Sensor Check	BASELINE	9.5	0.003636062	-0.0038993300069250837
16400	H1	Sensor Check	BASELINE	10.0	0.009073001	0.0025052843019238934
16401	H1	Sensor Check	BASELINE	10.499	0.012711711	0.0055452599525324334
16402	H1	Sensor Check	BASELINE	10.998	0.005832758	-0.0012252716943748966
16403	H1	Sensor Check	BASELINE	11.497	0.010957288	0.003510582759963654
16404	H1	Sensor Check	BASELINE	11.996	0.006879219	-0.0005896067842968479
16405	H1	Sensor Check	BASELINE	12.496	0.0059270724	-0.0009330650456377044
16406	H1	Sensor Check	BASELINE	12.995	0.011025407	0.0011540497988335118
16407	H1	Sensor Check	BASELINE	13.494	0.007540229	-0.000943934977067329
16408	H1	Sensor Check	BASELINE	13.993	0.010188108	0.002048228435205601
16409	H1	Sensor Check	BASELINE	14.492	0.011253589	0.003121539518224381
16410	H1	Sensor Check	BASELINE	14.992	0.006093961	-0.0021040686071046367
16411	H1	Sensor Check	BASELINE	15.491	0.011818432	0.0025996971279255376
16412	H1	Sensor Check	BASELINE	16.006	0.01005801	-0.0005023912191518321
16413	H1	Sensor Check	BASELINE	16.489	0.0026454104	-0.006956090884295918
16414	H1	Sensor Check	BASELINE	17.004	0.014215763	0.002731372170137547
16415	H1	Sensor Check	BASELINE	17.503	0.008607724	-0.0019267112612851634
16416	H1	Sensor Check	BASELINE	18.002	0.0061692437	-0.003668250948203422
16417	H1	Sensor Check	BASELINE	18.502	0.016317185	0.005700695827590608
16418	H1	Sensor Check	BASELINE	19.001	0.009477936	0.0006359541192523465
16419	H1	Sensor Check	BASELINE	19.5	0.013883496	0.005161359474050187
16420	H1	Sensor Check	BASELINE	19.999	0.01583853	0.004448964759694718
16421	H1	Sensor Check	BASELINE	20.498	0.0071935286	-0.0014242482967802062
16422	H1	Sensor Check	BASELINE	20.998	0.0150852185	0.004642009302961015
16423	H1	Sensor Check	BASELINE	21.497	0.0081902	-0.004256719224167682
16424	H1	Sensor Check	BASELINE	21.996	0.012912748	0.0008270279839507565
16425	H1	Sensor Check	BASELINE	22.495	0.019789942	0.007294724263238095
16426	H1	Sensor Check	BASELINE	22.994	0.004647172	-0.009237152025116302
16427	H1	Sensor Check	BASELINE	23.493	0.017384253	0.0055880691259972085
16428	H1	Sensor Check	BASELINE	23.993	0.01537189	0.0011538430452219472
