Conc1	3E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	1.85483089300123E-05	
Error Kobs	2.44549574264042E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	0.05108013	0	
480.22	0.0596722	0.0062916	
480.42	0.06904877	0.01248257	
480.62	0.08008007	0.01857452	
480.82	0.0917454	0.02456903	
481.02	0.10406792	0.03046767	
481.22	0.11614779	0.03627196	
481.42	0.12805449	0.04198341	
481.62	0.13938997	0.04760351	
481.82	0.14953737	0.05313373	
482.02	0.15825561	0.05857549	
482.22	0.16530782	0.06393021	
482.42	0.17161094	0.06919929	
482.62	0.17704897	0.0743841	
482.82	0.18153896	0.07948597	
483.02	0.1861524	0.08450625	
483.22	0.18999326	0.08944623	
483.42	0.19272026	0.0943072	
483.62	0.19692041	0.09909042	
483.82	0.20041367	0.10379713	
484.02	0.2039213	0.10842857	
484.22	0.20724114	0.11298593	
484.42	0.21053502	0.11747039	
484.62	0.21483207	0.12188313	
484.82	0.21780563	0.1262253	
485.02	0.22078872	0.13049801	
485.22	0.22325586	0.13470238	
485.42	0.226105	0.13883951	
485.62	0.2289129	0.14291046	
485.82	0.23146239	0.14691631	
486.02	0.233719	0.15085808	
486.22	0.23604694	0.15473681	
486.42	0.23871136	0.1585535	
486.62	0.24057358	0.16230914	
486.82	0.24203967	0.16600472	
487.02	0.24346944	0.16964118	
487.22	0.24475955	0.17321949	
487.42	0.24577456	0.17674056	
487.62	0.2475576	0.18020531	
487.82	0.24860685	0.18361465	
488.02	0.25013163	0.18696946	
488.22	0.25150573	0.19027061	
488.42	0.25277994	0.19351896	
488.62	0.25415873	0.19671536	
488.82	0.25487132	0.19986063	
489.02	0.2558023	0.20295559	
489.22	0.25696271	0.20600105	
489.42	0.25848732	0.20899781	
489.62	0.25964807	0.21194663	
489.82	0.26102088	0.21484829	
490.02	0.26194471	0.21770353	
490.22	0.26388854	0.22051311	
490.42	0.26565762	0.22327775	
490.62	0.26662627	0.22599818	
490.82	0.26798046	0.22867509	
491.02	0.26958356	0.23130919	
491.22	0.27059474	0.23390115	
491.42	0.2710783	0.23645166	
491.62	0.27215165	0.23896138	
491.82	0.27296045	0.24143095	
492.02	0.27386609	0.24386103	
492.22	0.27494019	0.24625224	
492.42	0.27565972	0.2486052	
492.62	0.27652509	0.25092053	
492.82	0.27700463	0.25319882	
493.02	0.27747107	0.25544068	
493.22	0.27787178	0.25764668	
493.42	0.27853922	0.2598174	
493.62	0.27877112	0.26195339	
493.82	0.27930914	0.26405523	
494.02	0.27972177	0.26612344	
494.22	0.28106773	0.26815858	
494.42	0.2812738	0.27016116	
494.62	0.28146232	0.27213172	
494.82	0.28224218	0.27407076	
495.02	0.28297732	0.27597878	
495.22	0.28322967	0.27785629	
495.42	0.2839545	0.27970376	
495.62	0.28473745	0.28152169	
495.82	0.28532214	0.28331054	
496.02	0.28629721	0.28507078	
496.22	0.28749379	0.28680287	
496.42	0.28835275	0.28850725	
496.62	0.28893613	0.29018437	
496.82	0.28968696	0.29183467	
497.02	0.29084764	0.29345857	
497.22	0.29149034	0.2950565	
497.42	0.29255923	0.29662887	
497.62	0.29302976	0.2981761	
497.82	0.29386616	0.29969857	
498.02	0.29439578	0.3011967	
498.22	0.29566589	0.30267086	
498.42	0.29595035	0.30412144	
498.62	0.29657504	0.30554883	
498.82	0.29694264	0.30695338	
499.02	0.2973426	0.30833547	
499.22	0.29789964	0.30969545	
499.42	0.29824339	0.31103368	
499.62	0.29906903	0.31235051	
499.82	0.30023476	0.31364628	
500.02	0.30061061	0.31492132	
