Conc1	1E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	2.61142555764347E-05	
Error Kobs	1.96859826390875E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	0.0124922	0	
480.22	0.01632449	0.00247	
480.42	0.0207786	0.00492177	
480.62	0.02613009	0.00735544	
480.82	0.0322364	0.00977115	
481.02	0.03833875	0.01216903	
481.22	0.0450769	0.01454922	
481.42	0.05169108	0.01691184	
481.62	0.05882703	0.01925702	
481.82	0.06546232	0.02158489	
482.02	0.07167766	0.02389558	
482.22	0.07687811	0.02618922	
482.42	0.08190106	0.02846593	
482.62	0.08675516	0.03072584	
482.82	0.09104156	0.03296907	
483.02	0.09545627	0.03519574	
483.22	0.09905284	0.03740598	
483.42	0.10206184	0.0395999	
483.62	0.1052892	0.04177764	
483.82	0.10829235	0.0439393	
484.02	0.11152896	0.04608501	
484.22	0.11391646	0.04821488	
484.42	0.11619528	0.05032903	
484.62	0.11898547	0.05242758	
484.82	0.12140466	0.05451064	
485.02	0.12328155	0.05657833	
485.22	0.12578252	0.05863075	
485.42	0.12852296	0.06066803	
485.62	0.13123528	0.06269028	
485.82	0.13394227	0.06469759	
486.02	0.13653102	0.0666901	
486.22	0.13874103	0.06866789	
486.42	0.14140449	0.07063109	
486.62	0.14372261	0.07257981	
486.82	0.14551565	0.07451413	
487.02	0.14767646	0.07643419	
487.22	0.14999079	0.07834007	
487.42	0.15186315	0.08023188	
487.62	0.15379694	0.08210974	
487.82	0.15616282	0.08397373	
488.02	0.15797008	0.08582397	
488.22	0.15968375	0.08766055	
488.42	0.16106793	0.08948358	
488.62	0.16284572	0.09129315	
488.82	0.16463079	0.09308937	
489.02	0.16638587	0.09487233	
489.22	0.16800764	0.09664213	
489.42	0.16933248	0.09839887	
489.62	0.17046256	0.10014264	
489.82	0.17206408	0.10187355	
490.02	0.17340359	0.10359168	
490.22	0.17474779	0.10529712	
490.42	0.1764058	0.10698999	
490.62	0.17705391	0.10867035	
490.82	0.17782652	0.11033832	
491.02	0.17914913	0.11199398	
491.22	0.17993304	0.11363741	
491.42	0.18039781	0.11526872	
491.62	0.18110985	0.11688799	
491.82	0.18228456	0.1184953	
492.02	0.18317668	0.12009076	
492.22	0.18456019	0.12167444	
492.42	0.18535724	0.12324643	
492.62	0.18735885	0.12480681	
492.82	0.18921644	0.12635569	
493.02	0.19041254	0.12789313	
493.22	0.19086301	0.12941922	
493.42	0.19180593	0.13093405	
493.62	0.19335733	0.1324377	
493.82	0.19433651	0.13393026	
494.02	0.19493385	0.1354118	
494.22	0.19563472	0.1368824	
494.42	0.1964896	0.13834215	
494.62	0.19651284	0.13979112	
494.82	0.19699651	0.14122941	
495.02	0.19674457	0.14265707	
495.22	0.19647444	0.1440742	
495.42	0.1973679	0.14548087	
495.62	0.19746331	0.14687716	
495.82	0.19760334	0.14826315	
496.02	0.19758183	0.1496389	
496.22	0.19827779	0.1510045	
496.42	0.19879608	0.15236003	
496.62	0.20006079	0.15370555	
496.82	0.20086922	0.15504113	
497.02	0.20187981	0.15636686	
497.22	0.20232135	0.15768281	
497.42	0.20325043	0.15898905	
497.62	0.20420423	0.16028564	
497.82	0.20459895	0.16157266	
498.02	0.20521111	0.16285019	
498.22	0.20649419	0.16411829	
498.42	0.20787939	0.16537702	
498.62	0.20862103	0.16662647	
498.82	0.20897028	0.1678667	
499.02	0.20935555	0.16909777	
499.22	0.21091713	0.17031976	
499.42	0.21191516	0.17153273	
499.62	0.21246247	0.17273674	
499.82	0.21308557	0.17393187	
500.02	0.21438866	0.17511818	
500.22	0.21521194	0.17629573	
500.42	0.21588563	0.1774646	
500.62	0.21697988	0.17862483	
500.82	0.21786846	0.17977651	
501.02	0.2187934	0.18091968	
501.22	0.21876022	0.18205442	
501.42	0.21896594	0.18318078	
501.62	0.21929361	0.18429883	
501.82	0.21981594	0.18540863	
502.02	0.22028746	0.18651023	
502.22	0.22035831	0.18760371	
502.42	0.2202569	0.18868911	
502.62	0.22016788	0.18976651	
502.82	0.21981909	0.19083595	
503.02	0.22028482	0.1918975	
503.22	0.22161221	0.19295122	
503.42	0.22281441	0.19399716	
503.62	0.2238768	0.19503538	
503.82	0.22446114	0.19606593	
504.02	0.22522427	0.19708888	
