Conc1	3.333E-07	
Start1	480.02	
Stop1	5779.82	
Kobs	1.6701833642111E-05	
Error Kobs	1.91434835286476E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	0.01946304	0	
480.22	0.02068863	0.00121838	
480.42	0.02133815	0.00243198	
480.62	0.02280995	0.0036408	
480.82	0.02442312	0.00484488	
481.02	0.0260105	0.00604422	
481.22	0.02837936	0.00723885	
481.42	0.03079546	0.00842879	
481.62	0.0329229	0.00961405	
481.82	0.03540664	0.01079466	
482.02	0.03777174	0.01197062	
482.22	0.03957694	0.01314196	
482.42	0.04165733	0.01430871	
482.62	0.04438579	0.01547086	
482.82	0.04623282	0.01662845	
483.02	0.04831356	0.01778149	
483.22	0.05036513	0.01893	
483.42	0.05315401	0.020074	
483.62	0.05603342	0.0212135	
483.82	0.05798356	0.02234853	
484.02	0.0597688	0.02347909	
484.22	0.06204223	0.02460522	
484.42	0.06336414	0.02572691	
484.62	0.06572157	0.0268442	
484.82	0.06733245	0.0279571	
485.02	0.06867521	0.02906563	
485.22	0.07057174	0.0301698	
485.42	0.07206859	0.03126963	
485.62	0.07347144	0.03236514	
485.82	0.0751355	0.03345635	
486.02	0.07625952	0.03454326	
486.22	0.07732882	0.03562591	
486.42	0.07920287	0.0367043	
486.62	0.08114805	0.03777846	
486.82	0.08305879	0.03884839	
487.02	0.08527054	0.03991412	
487.22	0.08760146	0.04097566	
487.42	0.08968371	0.04203303	
487.62	0.09199495	0.04308625	
487.82	0.09284087	0.04413533	
488.02	0.09406467	0.04518028	
488.22	0.09566974	0.04622113	
488.42	0.09703497	0.04725789	
488.62	0.09857787	0.04829058	
488.82	0.09926593	0.0493192	
489.02	0.10008678	0.05034379	
489.22	0.10141502	0.05136435	
489.42	0.1023622	0.0523809	
489.62	0.10327807	0.05339345	
489.82	0.10408938	0.05440203	
490.02	0.10527038	0.05540664	
490.22	0.10636558	0.05640731	
490.42	0.10719839	0.05740404	
490.62	0.10888711	0.05839686	
490.82	0.11018737	0.05938577	
491.02	0.11093775	0.0603708	
491.22	0.11146047	0.06135196	
491.42	0.11278799	0.06232927	
491.62	0.11363661	0.06330273	
491.82	0.11409805	0.06427237	
492.02	0.1149864	0.0652382	
492.22	0.11608014	0.06620023	
492.42	0.11708087	0.06715848	
492.62	0.11826915	0.06811297	
492.82	0.11874775	0.06906371	
493.02	0.12008299	0.07001071	
493.22	0.1212341	0.07095399	
493.42	0.12196764	0.07189356	
493.62	0.12350845	0.07282944	
493.82	0.12478618	0.07376164	
494.02	0.12670926	0.07469019	
494.22	0.12799799	0.07561508	
494.42	0.12911743	0.07653634	
494.62	0.13041278	0.07745397	
494.82	0.13103512	0.078368	
495.02	0.13226574	0.07927845	
495.22	0.13345605	0.08018531	
495.42	0.13460881	0.08108861	
495.62	0.13514551	0.08198836	
495.82	0.13541272	0.08288457	
496.02	0.13603475	0.08377726	
496.22	0.13655212	0.08466645	
496.42	0.13689316	0.08555214	
496.62	0.13766961	0.08643435	
496.82	0.13805415	0.0873131	
497.02	0.13909016	0.08818839	
497.22	0.13926115	0.08906024	
497.42	0.13958146	0.08992867	
497.62	0.14033854	0.09079368	
497.82	0.14051337	0.09165529	
498.02	0.1414037	0.09251352	
498.22	0.14196064	0.09336838	
498.42	0.14234287	0.09421988	
498.62	0.14269889	0.09506803	
498.82	0.14367999	0.09591285	
499.02	0.14459016	0.09675435	
499.22	0.14533269	0.09759254	
499.42	0.14623593	0.09842744	
499.62	0.14729393	0.09925906	
499.82	0.147493	0.10008741	
500.02	0.14822621	0.1009125	
500.22	0.14895144	0.10173435	
500.42	0.14965421	0.10255298	
500.62	0.15082026	0.10336839	
500.82	0.15160873	0.10418059	
501.02	0.15201297	0.1049896	
501.22	0.15228036	0.10579543	
501.42	0.1532673	0.1065981	
501.62	0.15351841	0.10739761	
501.82	0.15423722	0.10819398	
502.02	0.15499526	0.10898722	
502.22	0.15588149	0.10977735	
502.42	0.1565158	0.11056437	
502.62	0.15716071	0.1113483	
502.82	0.15807039	0.11212914	
503.02	0.15877519	0.11290692	
503.22	0.16023257	0.11368164	
503.42	0.16081843	0.11445332	
503.62	0.16177142	0.11522197	
503.82	0.16235483	0.11598759	
504.02	0.16331558	0.11675021	
504.22	0.16433926	0.11750983	
504.42	0.16504915	0.11826646	
504.62	0.16546383	0.11902013	
504.82	0.16581819	0.11977083	
505.02	0.16573259	0.12051858	
505.22	0.16604328	0.12126339	
505.42	0.16689804	0.12200528	
505.62	0.16666102	0.12274425	
505.82	0.16698484	0.12348032	
506.02	0.16698808	0.12421349	
506.22	0.16725103	0.12494378	
506.42	0.16728024	0.12567121	
506.62	0.16733432	0.12639577	
506.82	0.16805799	0.12711749	
507.02	0.16825657	0.12783638	
507.22	0.16903974	0.12855243	
507.42	0.16893002	0.12926568	
507.62	0.16992351	0.12997612	
507.82	0.16997581	0.13068377	
508.02	0.17067931	0.13138864	
508.22	0.17151251	0.13209074	
508.42	0.17151137	0.13279008	
508.62	0.17180555	0.13348667	
508.82	0.17214719	0.13418053	
509.02	0.17261812	0.13487166	
509.22	0.17332656	0.13556007	
509.42	0.17393147	0.13624578	
509.62	0.17365068	0.13692879	
509.82	0.17421521	0.13760912	
510.02	0.17487337	0.13828678	
510.22	0.1754706	0.13896177	
510.42	0.17633853	0.13963411	
510.62	0.17679326	0.14030381	
510.82	0.17723344	0.14097088	
511.02	0.17716315	0.14163533	
511.22	0.17766085	0.14229716	
511.42	0.17781038	0.1429564	
511.62	0.17775333	0.14361304	
511.82	0.17837334	0.14426711	
512.02	0.17914908	0.1449186	
512.22	0.17957285	0.14556754	
512.42	0.17978902	0.14621392	
512.62	0.18046557	0.14685777	
512.82	0.1808639	0.14749908	
513.02	0.18109387	0.14813788	
513.22	0.18146254	0.14877416	
513.42	0.18145654	0.14940795	
513.62	0.1822321	0.15003924	
513.82	0.18337182	0.15066805	
514.02	0.1837477	0.1512944	
514.22	0.1842901	0.15191828	
514.42	0.18448546	0.15253971	
514.62	0.18395518	0.1531587	
514.82	0.18364971	0.15377525	
515.02	0.18386692	0.15438938	
515.22	0.18416648	0.1550011	
515.42	0.1844013	0.15561042	
515.62	0.18484898	0.15621734	
515.82	0.18602659	0.15682188	
516.02	0.18631161	0.15742404	
516.22	0.18695477	0.15802384	
516.42	0.18741433	0.15862128	
516.62	0.18806451	0.15921637	
516.82	0.18876936	0.15980912	
517.02	0.18898487	0.16039954	
517.22	0.19002521	0.16098765	
517.42	0.19083565	0.16157344	
517.62	0.19156874	0.16215693	
517.82	0.19138068	0.16273813	
518.02	0.19103022	0.16331704	
518.22	0.191224	0.16389368	
518.42	0.1912809	0.16446805	
518.62	0.19133994	0.16504017	
518.82	0.1912795	0.16561004	
519.02	0.19191858	0.16617767	
519.22	0.19233014	0.16674307	
519.42	0.19269637	0.16730624	
519.62	0.1929336	0.16786721	
519.82	0.19352522	0.16842597	
520.02	0.19392465	0.16898253	
520.22	0.1940004	0.16953691	
520.42	0.19447624	0.17008911	
520.62	0.19507512	0.17063914	
520.82	0.19542223	0.171187	
521.02	0.19537979	0.17173272	
521.22	0.19612258	0.17227629	
521.42	0.19638643	0.17281772	
521.62	0.19607268	0.17335703	
521.82	0.19591753	0.17389422	
522.02	0.19633842	0.1744293	
522.22	0.19727155	0.17496227	
522.42	0.19759313	0.17549315	
522.62	0.19786317	0.17602194	
522.82	0.19834546	0.17654866	
523.02	0.19877752	0.17707331	
523.22	0.19913721	0.17759589	
523.42	0.19981661	0.17811642	
523.62	0.20049013	0.17863491	
523.82	0.20155072	0.17915136	
524.02	0.20121492	0.17966578	
524.22	0.20130994	0.18017818	
524.42	0.20183873	0.18068856	
524.62	0.20215907	0.18119694	
524.82	0.20213337	0.18170332	
525.02	0.20252049	0.18220771	
525.22	0.20289107	0.18271012	
525.42	0.20288146	0.18321056	
525.62	0.20308072	0.18370903	
525.82	0.20317066	0.18420554	
526.02	0.20350128	0.1847001	
526.22	0.20335089	0.18519271	
526.42	0.20331237	0.18568339	
526.62	0.20322336	0.18617215	
526.82	0.20274264	0.18665898	
527.02	0.20227765	0.1871439	
527.22	0.20266252	0.18762691	
527.42	0.203251	0.18810803	
527.62	0.2030615	0.18858725	
527.82	0.20300604	0.18906459	
528.02	0.2025498	0.18954006	
528.22	0.20344613	0.19001366	
528.42	0.20357939	0.19048539	
528.62	0.20385035	0.19095528	
528.82	0.20415197	0.19142331	
529.02	0.20465731	0.19188951	
529.22	0.20517265	0.19235388	
529.42	0.20552125	0.19281642	
529.62	0.20600089	0.19327714	
529.82	0.20653007	0.19373605	
530.02	0.20683188	0.19419316	
530.22	0.20673795	0.19464848	
530.42	0.20698578	0.195102	
530.62	0.20677945	0.19555375	
