Conc1	1.111E-07	
Start1	480.02	
Stop1	5779.82	
Kobs	2.74202917900066E-05	
Error Kobs	2.22251550658806E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	-0.03719693	0	
480.22	-0.03679974	0.00034452	
480.42	-0.03596871	0.00068864	
480.62	-0.03478107	0.00103234	
480.82	-0.03346464	0.00137564	
481.02	-0.032217	0.00171853	
481.22	-0.03179704	0.00206102	
481.42	-0.03083756	0.00240309	
481.62	-0.02941752	0.00274477	
481.82	-0.02812588	0.00308603	
482.02	-0.02704785	0.00342689	
482.22	-0.02624331	0.00376735	
482.42	-0.02562361	0.00410741	
482.62	-0.02480476	0.00444706	
482.82	-0.02422379	0.0047863	
483.02	-0.02386236	0.00512515	
483.22	-0.02351738	0.00546359	
483.42	-0.02319334	0.00580163	
483.62	-0.02275665	0.00613927	
483.82	-0.02260911	0.00647651	
484.02	-0.02139446	0.00681335	
484.22	-0.02012387	0.00714979	
484.42	-0.01825151	0.00748583	
484.62	-0.0169121	0.00782147	
484.82	-0.0156048	0.00815671	
485.02	-0.01444039	0.00849156	
485.22	-0.0139698	0.008826	
485.42	-0.01315581	0.00916006	
485.62	-0.01252174	0.00949371	
485.82	-0.01195452	0.00982697	
486.02	-0.01141132	0.01015983	
486.22	-0.0108522	0.0104923	
486.42	-0.00970329	0.01082438	
486.62	-0.00856344	0.01115606	
486.82	-0.00794958	0.01148734	
487.02	-0.00791141	0.01181824	
487.22	-0.00684518	0.01214874	
487.42	-0.00663818	0.01247885	
487.62	-0.00575561	0.01280857	
487.82	-0.00536106	0.01313789	
488.02	-0.00445675	0.01346683	
488.22	-0.00284485	0.01379537	
488.42	-0.00225429	0.01412353	
488.62	-0.00205997	0.01445129	
488.82	-0.00133964	0.01477867	
489.02	-0.00084851	0.01510566	
489.22	-0.00088732	0.01543226	
489.42	-0.00114256	0.01575847	
489.62	-0.00016828	0.0160843	
489.82	0.00099761	0.01640974	
490.02	0.00220865	0.01673479	
490.22	0.00366834	0.01705946	
490.42	0.00519533	0.01738374	
490.62	0.00604076	0.01770764	
490.82	0.00700018	0.01803115	
491.02	0.00713284	0.01835428	
491.22	0.00803943	0.01867703	
491.42	0.00857085	0.01899939	
491.62	0.00934367	0.01932138	
491.82	0.00985517	0.01964297	
492.02	0.01033536	0.01996419	
