Conc1	3.704E-08	
Start1	480.02	
Stop1	5779.82	
Kobs	5.43407746342408E-05	
Error Kobs	2.69312012074895E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	0.01847592	0	
480.22	0.01928384	0.00044907	
480.42	0.02024619	0.00089709	
480.62	0.02095459	0.00134407	
480.82	0.02182016	0.00179001	
481.02	0.02268553	0.0022349	
481.22	0.023594	0.00267876	
481.42	0.02381011	0.00312159	
481.62	0.02411945	0.00356338	
481.82	0.0249447	0.00400414	
482.02	0.02524107	0.00444387	
482.22	0.02549051	0.00488258	
482.42	0.02632365	0.00532026	
482.62	0.02660966	0.00575692	
482.82	0.02595282	0.00619257	
483.02	0.02664637	0.0066272	
483.22	0.02668848	0.00706081	
483.42	0.02675733	0.00749342	
483.62	0.02729922	0.00792501	
483.82	0.02738657	0.0083556	
484.02	0.02675842	0.00878518	
484.22	0.02726545	0.00921376	
484.42	0.0276813	0.00964135	
484.62	0.0280905	0.01006793	
484.82	0.0285647	0.01049352	
485.02	0.02938872	0.01091812	
485.22	0.03017246	0.01134173	
485.42	0.03075378	0.01176435	
485.62	0.03143883	0.01218598	
485.82	0.03204816	0.01260663	
486.02	0.03202362	0.0130263	
486.22	0.03290149	0.013445	
486.42	0.03298882	0.01386271	
486.62	0.03332841	0.01427945	
486.82	0.03388589	0.01469522	
487.02	0.03424388	0.01511002	
487.22	0.03428807	0.01552385	
487.42	0.03419762	0.01593672	
487.62	0.03439726	0.01634862	
487.82	0.03370657	0.01675956	
488.02	0.03374782	0.01716955	
488.22	0.03444912	0.01757858	
488.42	0.03442479	0.01798665	
488.62	0.03464914	0.01839377	
488.82	0.03498999	0.01879995	
489.02	0.03552791	0.01920517	
489.22	0.0359708	0.01960945	
489.42	0.03604491	0.02001279	
489.62	0.03577971	0.02041519	
489.82	0.03606422	0.02081665	
490.02	0.03694905	0.02121717	
490.22	0.03758213	0.02161676	
490.42	0.0381922	0.02201542	
490.62	0.03931199	0.02241314	
490.82	0.04027713	0.02280994	
491.02	0.04091097	0.02320582	
491.22	0.04173986	0.02360077	
491.42	0.04241507	0.0239948	
491.62	0.04338297	0.02438791	
491.82	0.04414302	0.0247801	
492.02	0.04488883	0.02517138	
492.22	0.04559176	0.02556175	
492.42	0.04588293	0.02595121	
492.62	0.04577157	0.02633975	
492.82	0.04569599	0.0267274	
493.02	0.0454889	0.02711413	
493.22	0.04523171	0.02749997	
493.42	0.04484684	0.02788491	
493.62	0.04428518	0.02826895	
493.82	0.04401948	0.02865209	
494.02	0.04406633	0.02903434	
494.22	0.04397122	0.0294157	
494.42	0.04414516	0.02979616	
494.62	0.04450152	0.03017574	
494.82	0.04486077	0.03055444	
495.02	0.0447293	0.03093225	
495.22	0.04522177	0.03130918	
495.42	0.04618112	0.03168524	
495.62	0.04688223	0.03206041	
495.82	0.04714565	0.03243471	
496.02	0.04758316	0.03280814	
496.22	0.04825651	0.0331807	
496.42	0.04848488	0.03355239	
496.62	0.04837011	0.03392321	
496.82	0.04915151	0.03429316	
497.02	0.04966279	0.03466226	
497.22	0.04971951	0.03503049	
497.42	0.05041362	0.03539786	
497.62	0.05039293	0.03576438	
497.82	0.05074815	0.03613004	
498.02	0.05120706	0.03649485	
498.22	0.05124235	0.03685881	
498.42	0.0506769	0.03722192	
498.62	0.05071517	0.03758418	
498.82	0.05040579	0.0379456	
499.02	0.0499552	0.03830618	
499.22	0.05024898	0.03866591	
499.42	0.05052934	0.03902481	
499.62	0.05023449	0.03938286	
499.82	0.05066251	0.03974009	
500.02	0.05131646	0.04009648	
500.22	0.05185156	0.04045204	
500.42	0.0519552	0.04080677	
500.62	0.05261806	0.04116067	
500.82	0.05309341	0.04151375	
501.02	0.05411466	0.041866	
501.22	0.05457669	0.04221743	
501.42	0.05476171	0.04256804	
501.62	0.05477615	0.04291784	
501.82	0.05472423	0.04326682	
502.02	0.05393329	0.04361498	
502.22	0.05362699	0.04396234	
502.42	0.05309812	0.04430888	
502.62	0.05295694	0.04465462	
502.82	0.05279421	0.04499954	
503.02	0.05306652	0.04534367	
503.22	0.05337637	0.04568699	
503.42	0.05443247	0.04602951	
503.62	0.05524885	0.04637123	
503.82	0.05629461	0.04671216	
504.02	0.05714808	0.04705229	
504.22	0.0573974	0.04739163	
504.42	0.05753	0.04773017	
504.62	0.05790716	0.04806793	
504.82	0.05774035	0.0484049	
505.02	0.05920907	0.04874108	
505.22	0.05882052	0.04907648	
505.42	0.05909075	0.04941109	
505.62	0.0596611	0.04974493	
505.82	0.05937799	0.05007799	
506.02	0.05936004	0.05041027	
506.22	0.06008781	0.05074177	
506.42	0.05994007	0.0510725	
506.62	0.06060299	0.05140246	
506.82	0.06129702	0.05173166	
507.02	0.06198757	0.05206008	
507.22	0.06226447	0.05238774	
507.42	0.06321785	0.05271463	
507.62	0.06339056	0.05304076	
507.82	0.06356679	0.05336613	
508.02	0.06320777	0.05369075	
508.22	0.0628579	0.0540146	
508.42	0.06268133	0.0543377	
508.62	0.06280115	0.05466005	
508.82	0.06281124	0.05498164	
509.02	0.0636055	0.05530249	
509.22	0.06339941	0.05562258	
509.42	0.0645525	0.05594193	
509.62	0.06452777	0.05626054	
509.82	0.064904	0.0565784	
510.02	0.06482271	0.05689552	
510.22	0.06502223	0.0572119	
