Conc1	1.235E-08	
Start1	480.02	
Stop1	5779.82	
Kobs	3.46303006410701E-05	
Error Kobs	4.03831593371021E-07	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	-0.00620299	0	
480.22	-0.00627536	0.00007647	
480.42	-0.00723179	0.00015292	
480.62	-0.00772637	0.00022937	
480.82	-0.00821039	0.0003058	
481.02	-0.00866848	0.00038222	
481.22	-0.00899007	0.00045863	
481.42	-0.00952071	0.00053503	
481.62	-0.01038801	0.00061141	
481.82	-0.01068093	0.00068778	
482.02	-0.01081878	0.00076415	
482.22	-0.01083505	0.0008405	
482.42	-0.01050632	0.00091684	
482.62	-0.01066153	0.00099316	
482.82	-0.0104984	0.00106948	
483.02	-0.01055935	0.00114578	
483.22	-0.01054197	0.00122207	
483.42	-0.01022563	0.00129835	
483.62	-0.00997831	0.00137462	
483.82	-0.01012294	0.00145088	
484.02	-0.00958082	0.00152712	
484.22	-0.00896063	0.00160335	
484.42	-0.0092871	0.00167958	
484.62	-0.00883136	0.00175579	
484.82	-0.00888505	0.00183198	
485.02	-0.00874329	0.00190817	
485.22	-0.00870612	0.00198434	
485.42	-0.00928566	0.00206051	
485.62	-0.00939517	0.00213666	
485.82	-0.00809437	0.0022128	
486.02	-0.00824271	0.00228892	
486.22	-0.00809644	0.00236504	
486.42	-0.00802011	0.00244115	
486.62	-0.00842993	0.00251724	
486.82	-0.0082599	0.00259332	
487.02	-0.00840193	0.00266939	
487.22	-0.00866429	0.00274545	
487.42	-0.00873765	0.00282149	
487.62	-0.00847727	0.00289753	
487.82	-0.0082358	0.00297355	
488.02	-0.00780432	0.00304956	
488.22	-0.00769364	0.00312556	
488.42	-0.00760322	0.00320155	
488.62	-0.00773565	0.00327752	
488.82	-0.00773268	0.00335349	
489.02	-0.007283	0.00342944	
489.22	-0.00704309	0.00350538	
489.42	-0.0069886	0.00358131	
489.62	-0.00644455	0.00365723	
489.82	-0.00623122	0.00373313	
490.02	-0.00651925	0.00380903	
490.22	-0.00557205	0.00388491	
490.42	-0.00552079	0.00396078	
490.62	-0.00580044	0.00403664	
490.82	-0.00564583	0.00411249	
491.02	-0.00548312	0.00418832	
491.22	-0.0054495	0.00426415	
491.42	-0.0052632	0.00433996	
491.62	-0.00491289	0.00441576	
491.82	-0.00477865	0.00449155	
492.02	-0.00427252	0.00456733	
492.22	-0.00379028	0.0046431	
492.42	-0.0032663	0.00471885	
492.62	-0.00276736	0.00479459	
492.82	-0.00235982	0.00487032	
493.02	-0.00242281	0.00494604	
493.22	-0.00218231	0.00502175	
493.42	-0.00292638	0.00509745	
493.62	-0.00329068	0.00517313	
493.82	-0.00324343	0.00524881	
494.02	-0.00309714	0.00532447	
494.22	-0.00287802	0.00540012	
494.42	-0.0035307	0.00547576	
494.62	-0.00368281	0.00555138	
494.82	-0.00353696	0.005627	
495.02	-0.00378718	0.0057026	
495.22	-0.00385778	0.00577819	
495.42	-0.0038747	0.00585377	
495.62	-0.00413014	0.00592934	
495.82	-0.0037668	0.0060049	
496.02	-0.00318446	0.00608044	
496.22	-0.00295291	0.00615598	
496.42	-0.00232428	0.0062315	
496.62	-0.00226255	0.00630701	
496.82	-0.00252942	0.00638251	
497.02	-0.00243056	0.006458	
497.22	-0.00250585	0.00653347	
497.42	-0.00301888	0.00660894	
497.62	-0.00285255	0.00668439	
497.82	-0.00270034	0.00675983	
498.02	-0.00261696	0.00683526	
498.22	-0.00208828	0.00691068	
498.42	-0.0016477	0.00698609	
498.62	-0.00137176	0.00706148	
498.82	-0.00121599	0.00713686	
499.02	-0.00121768	0.00721223	
499.22	-0.00065614	0.00728759	
499.42	-0.00086715	0.00736294	
499.62	-0.0008118	0.00743828	
499.82	-0.00066619	0.00751361	
500.02	-0.00045422	0.00758892	
500.22	-0.00041454	0.00766422	
500.42	-0.00075567	0.00773951	
500.62	-0.00132884	0.00781479	
500.82	-0.00102856	0.00789006	
501.02	-0.00136395	0.00796531	
501.22	-0.0019773	0.00804056	
501.42	-0.00204485	0.00811579	
501.62	-0.00202901	0.00819101	
501.82	-0.0016499	0.00826622	
502.02	-0.00150656	0.00834142	
502.22	-0.00140954	0.00841661	
502.42	-0.00095533	0.00849178	
502.62	-0.0007634	0.00856695	
502.82	-0.00065264	0.0086421	
503.02	-0.00040994	0.00871724	
503.22	0.00012482	0.00879237	
503.42	-0.00020935	0.00886749	
503.62	0.00011885	0.00894259	
503.82	0.00042628	0.00901769	
504.02	0.00176141	0.00909277	
504.22	0.0021911	0.00916784	
504.42	0.00211083	0.0092429	
504.62	0.00242184	0.00931795	
504.82	0.00238604	0.00939298	
505.02	0.00198547	0.00946801	
505.22	0.00204885	0.00954302	
505.42	0.00216138	0.00961803	
505.62	0.0024912	0.00969302	
505.82	0.00283785	0.009768	
506.02	0.00253684	0.00984296	
506.22	0.0023938	0.00991792	
506.42	0.0026191	0.00999286	
506.62	0.00206549	0.0100678	
506.82	0.0017362	0.01014272	
507.02	0.00201188	0.01021763	
507.22	0.00202177	0.01029253	
507.42	0.00193114	0.01036741	
507.62	0.00217829	0.01044229	
507.82	0.00287976	0.01051715	
508.02	0.00338486	0.01059201	
508.22	0.00252147	0.01066685	
508.42	0.00255768	0.01074168	
508.62	0.00224551	0.0108165	
508.82	0.00208905	0.0108913	
509.02	0.00245867	0.0109661	
509.22	0.00253846	0.01104088	
509.42	0.00290224	0.01111565	
509.62	0.00328634	0.01119041	
509.82	0.00327921	0.01126516	
510.02	0.00327235	0.0113399	
510.22	0.00357401	0.01141463	
