Conc1	4.115E-09	
Start1	480.02	
Stop1	5779.82	
Kobs	7.00789390040417E-56	
Error Kobs	1.276763617332E-06	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	0.00244247	0	
480.22	0.00270832	0.00004962	
480.42	0.00279093	0.00009923	
480.62	0.00262122	0.00014883	
480.82	0.00250243	0.00019841	
481.02	0.00277873	0.00024798	
481.22	0.00312209	0.00029754	
481.42	0.00278018	0.00034708	
481.62	0.00240264	0.00039661	
481.82	0.0019866	0.00044613	
482.02	0.00238792	0.00049563	
482.22	0.00201707	0.00054513	
482.42	0.00163051	0.0005946	
482.62	0.00173704	0.00064407	
482.82	0.00202543	0.00069352	
483.02	0.00175289	0.00074296	
483.22	0.00120445	0.00079239	
483.42	0.00149476	0.00084181	
483.62	0.00182576	0.00089121	
483.82	0.00157554	0.0009406	
484.02	0.00109537	0.00098997	
484.22	0.00110744	0.00103933	
484.42	0.0012562	0.00108868	
484.62	0.00103086	0.00113802	
484.82	0.00156472	0.00118735	
485.02	0.00174493	0.00123666	
485.22	0.00180297	0.00128595	
485.42	0.00175812	0.00133524	
485.62	0.00197649	0.00138451	
485.82	0.00269431	0.00143377	
486.02	0.00365873	0.00148302	
486.22	0.00343826	0.00153225	
486.42	0.00351645	0.00158147	
486.62	0.00409103	0.00163068	
486.82	0.00470427	0.00167988	
487.02	0.00461026	0.00172906	
487.22	0.00485693	0.00177823	
487.42	0.00506575	0.00182738	
487.62	0.00522086	0.00187653	
487.82	0.00483183	0.00192566	
488.02	0.00453973	0.00197478	
488.22	0.00500747	0.00202388	
488.42	0.00500276	0.00207297	
488.62	0.00444506	0.00212205	
488.82	0.00428751	0.00217112	
489.02	0.00399323	0.00222017	
489.22	0.00405031	0.00226922	
489.42	0.00408563	0.00231824	
489.62	0.00352147	0.00236726	
489.82	0.00366277	0.00241626	
490.02	0.0035555	0.00246525	
490.22	0.00331708	0.00251423	
490.42	0.00301011	0.00256319	
490.62	0.00338756	0.00261214	
490.82	0.0036457	0.00266108	
491.02	0.0035126	0.00271001	
491.22	0.00290706	0.00275892	
491.42	0.00305331	0.00280782	
491.62	0.00362707	0.00285671	
491.82	0.00387909	0.00290558	
492.02	0.00419047	0.00295444	
492.22	0.00420114	0.00300329	
492.42	0.00373074	0.00305213	
492.62	0.00386645	0.00310095	
492.82	0.00396945	0.00314976	
493.02	0.00418773	0.00319856	
493.22	0.00406158	0.00324735	
493.42	0.00433917	0.00329612	
493.62	0.00406102	0.00334488	
493.82	0.0042509	0.00339362	
494.02	0.00441495	0.00344236	
494.22	0.00448417	0.00349108	
494.42	0.0043346	0.00353979	
494.62	0.00420039	0.00358848	
494.82	0.00440834	0.00363717	
495.02	0.00407033	0.00368584	
495.22	0.00333871	0.00373449	
495.42	0.0040613	0.00378314	
495.62	0.00462786	0.00383177	
495.82	0.00485923	0.00388039	
496.02	0.00430949	0.003929	
496.22	0.00384754	0.00397759	
496.42	0.00442306	0.00402617	
496.62	0.00461835	0.00407474	
496.82	0.00469927	0.0041233	
497.02	0.00482341	0.00417184	
497.22	0.00543322	0.00422037	
497.42	0.00591054	0.00426889	
497.62	0.00552165	0.00431739	
497.82	0.00584031	0.00436589	
498.02	0.00664057	0.00441437	
498.22	0.00652888	0.00446283	
498.42	0.00615376	0.00451129	
498.62	0.00582829	0.00455973	
498.82	0.00620672	0.00460816	
499.02	0.00615628	0.00465657	
499.22	0.00601084	0.00470498	
499.42	0.00580611	0.00475337	
499.62	0.00580545	0.00480175	
499.82	0.00572098	0.00485011	
500.02	0.00533476	0.00489847	
500.22	0.00583952	0.00494681	
500.42	0.00599592	0.00499513	
500.62	0.00616593	0.00504345	
500.82	0.00631566	0.00509175	
501.02	0.00651854	0.00514004	
501.22	0.00745466	0.00518832	
501.42	0.00756885	0.00523658	
501.62	0.00790472	0.00528484	
501.82	0.00840375	0.00533308	
502.02	0.00907102	0.0053813	
502.22	0.00860842	0.00542952	
502.42	0.00850049	0.00547772	
502.62	0.00792766	0.00552591	
502.82	0.00803718	0.00557408	
503.02	0.00783497	0.00562225	
503.22	0.00734803	0.0056704	
503.42	0.00689451	0.00571854	
503.62	0.00681496	0.00576666	
503.82	0.00701028	0.00581478	
504.02	0.00660604	0.00586288	
504.22	0.00675486	0.00591096	
504.42	0.00644549	0.00595904	
504.62	0.00685484	0.0060071	
504.82	0.00663512	0.00605515	
505.02	0.00705292	0.00610319	
505.22	0.0073699	0.00615122	
505.42	0.00778381	0.00619923	
505.62	0.00826082	0.00624723	
505.82	0.00843764	0.00629522	
506.02	0.00866598	0.00634319	
506.22	0.00852691	0.00639115	
506.42	0.00806062	0.0064391	
506.62	0.00742402	0.00648704	
506.82	0.00733205	0.00653497	
507.02	0.00729763	0.00658288	
507.22	0.00734732	0.00663078	
507.42	0.00737719	0.00667867	
507.62	0.00731433	0.00672654	
507.82	0.00760725	0.0067744	
508.02	0.00730543	0.00682225	
508.22	0.00758225	0.00687009	
508.42	0.00769979	0.00691791	
508.62	0.00820666	0.00696573	
508.82	0.00811122	0.00701353	
509.02	0.00827863	0.00706131	
509.22	0.00824185	0.00710909	
509.42	0.00896466	0.00715685	
509.62	0.00952063	0.0072046	
509.82	0.00942764	0.00725234	
510.02	0.00956404	0.00730006	
510.22	0.00985145	0.00734777	
510.42	0.00953996	0.00739547	
510.62	0.00923608	0.00744316	
510.82	0.00829872	0.00749084	
511.02	0.00804784	0.0075385	
511.22	0.00772421	0.00758615	
511.42	0.00759149	0.00763379	
511.62	0.00758114	0.00768141	
511.82	0.00731345	0.00772902	
512.02	0.00772778	0.00777662	
512.22	0.00769416	0.00782421	
512.42	0.00755725	0.00787179	
512.62	0.00770104	0.00791935	
512.82	0.00783276	0.0079669	
513.02	0.00757376	0.00801444	
513.22	0.00739266	0.00806196	
513.42	0.00809881	0.00810947	
513.62	0.00864448	0.00815698	
513.82	0.00875497	0.00820446	
514.02	0.00889976	0.00825194	
514.22	0.00907162	0.0082994	
514.42	0.00925025	0.00834685	
514.62	0.00949118	0.00839429	
514.82	0.00884491	0.00844172	
515.02	0.00884839	0.00848913	
515.22	0.00899716	0.00853653	
515.42	0.00977766	0.00858392	
515.62	0.00945529	0.0086313	
515.82	0.00963214	0.00867866	
516.02	0.01021419	0.00872601	
516.22	0.00973761	0.00877335	
516.42	0.00976958	0.00882068	
516.62	0.00972999	0.00886799	
516.82	0.00932802	0.0089153	
517.02	0.0090382	0.00896259	
517.22	0.00885209	0.00900986	
517.42	0.00954629	0.00905713	
517.62	0.00943037	0.00910438	
517.82	0.00955384	0.00915162	
518.02	0.00911753	0.00919885	
518.22	0.00945547	0.00924606	
518.42	0.00979215	0.00929327	
518.62	0.0099191	0.00934046	
518.82	0.00929184	0.00938764	
519.02	0.00948312	0.0094348	
519.22	0.00999301	0.00948196	
519.42	0.01062468	0.0095291	
519.62	0.00997631	0.00957623	
519.82	0.01057779	0.00962334	
520.02	0.01153491	0.00967045	
520.22	0.01181283	0.00971754	
520.42	0.01198604	0.00976462	
520.62	0.01156372	0.00981169	
520.82	0.01178676	0.00985874	
521.02	0.01192665	0.00990579	
521.22	0.01128991	0.00995282	
521.42	0.01122832	0.00999984	
521.62	0.01031738	0.01004684	
521.82	0.01020614	0.01009384	
522.02	0.00891652	0.01014082	
522.22	0.00836139	0.01018779	
522.42	0.00850687	0.01023474	
522.62	0.00811861	0.01028169	
522.82	0.00794099	0.01032862	
523.02	0.00840592	0.01037554	
523.22	0.00910289	0.01042245	
523.42	0.00965595	0.01046934	
523.62	0.00979205	0.01051623	
523.82	0.01054422	0.0105631	
524.02	0.01183261	0.01060996	
524.22	0.01221076	0.0106568	
524.42	0.01242222	0.01070364	
524.62	0.01226962	0.01075046	
524.82	0.01276154	0.01079727	
525.02	0.01294661	0.01084407	
525.22	0.01299972	0.01089085	
525.42	0.0127231	0.01093763	
525.62	0.01270835	0.01098439	
525.82	0.01261369	0.01103113	
526.02	0.01189633	0.01107787	
526.22	0.01200797	0.01112459	
526.42	0.01200996	0.01117131	
526.62	0.01173734	0.01121801	
526.82	0.01217094	0.01126469	
527.02	0.01213174	0.01131137	
527.22	0.01215104	0.01135803	
527.42	0.01165271	0.01140468	
527.62	0.01077628	0.01145132	
527.82	0.01036116	0.01149795	
528.02	0.01066915	0.01154456	
528.22	0.01068019	0.01159116	
528.42	0.01042634	0.01163775	
528.62	0.01037443	0.01168433	
528.82	0.01082909	0.0117309	
529.02	0.01169744	0.01177745	
529.22	0.01142901	0.01182399	
529.42	0.01112787	0.01187052	
529.62	0.01165126	0.01191704	
529.82	0.01193431	0.01196354	
530.02	0.01162555	0.01201003	
530.22	0.01126344	0.01205651	
530.42	0.01150235	0.01210298	
530.62	0.01182085	0.01214944	
530.82	0.01174555	0.01219588	
531.02	0.0112948	0.01224231	
531.22	0.01140766	0.01228873	
531.42	0.01109263	0.01233514	
531.62	0.01125189	0.01238154	
531.82	0.01144687	0.01242792	
532.02	0.01163333	0.01247429	
532.22	0.01182316	0.01252065	
532.42	0.01216393	0.012567	
532.62	0.01238313	0.01261333	
532.82	0.01265927	0.01265965	
533.02	0.01307797	0.01270596	
533.22	0.01271151	0.01275226	
533.42	0.01258492	0.01279855	
533.62	0.01245605	0.01284482	
533.82	0.01279047	0.01289108	
534.02	0.01216538	0.01293733	
534.22	0.01232939	0.01298357	
534.42	0.01236037	0.0130298	
534.62	0.01234344	0.01307601	
534.82	0.0122138	0.01312221	
535.02	0.01218823	0.0131684	
535.22	0.01245242	0.01321458	
535.42	0.01258236	0.01326074	
535.62	0.01266218	0.0133069	
535.82	0.01260968	0.01335304	
536.02	0.01257245	0.01339917	
536.22	0.01290394	0.01344528	
536.42	0.0134673	0.01349139	
536.62	0.01358628	0.01353748	
536.82	0.01348169	0.01358356	
537.02	0.01436126	0.01362963	
537.22	0.01477088	0.01367569	
537.42	0.01483202	0.01372173	
537.62	0.01486942	0.01376776	
537.82	0.01514456	0.01381378	
538.02	0.01590498	0.01385979	
538.22	0.01610102	0.01390579	
538.42	0.01587907	0.01395177	
538.62	0.01613609	0.01399775	
538.82	0.01592662	0.01404371	
539.02	0.01578311	0.01408965	
539.22	0.01540091	0.01413559	
539.42	0.01509148	0.01418151	
539.62	0.01535999	0.01422743	
539.82	0.01580841	0.01427333	
540.02	0.01546531	0.01431922	
540.22	0.01527228	0.01436509	
540.42	0.01525276	0.01441096	
540.62	0.01539464	0.01445681	
540.82	0.01522544	0.01450265	
541.02	0.01541246	0.01454848	
541.22	0.01502565	0.01459429	
541.42	0.01495322	0.0146401	
541.62	0.01483672	0.01468589	
541.82	0.01471518	0.01473167	
542.02	0.01557252	0.01477744	
542.22	0.01526528	0.01482319	
542.42	0.01548667	0.01486894	
542.62	0.01525585	0.01491467	
542.82	0.01559677	0.01496039	
543.02	0.01577557	0.0150061	
543.22	0.01567492	0.0150518	
543.42	0.01591986	0.01509748	
543.62	0.01640127	0.01514315	
543.82	0.01671808	0.01518882	
544.02	0.01647448	0.01523446	
544.22	0.01628862	0.0152801	
544.42	0.01687861	0.01532573	
544.62	0.01715653	0.01537134	
544.82	0.01680974	0.01541694	
545.02	0.01628567	0.01546253	
545.22	0.01665957	0.01550811	
