Conc1	1.371E-09	
Start1	480.02	
Stop1	5779.82	
Kobs	2.80315756016167E-55	
Error Kobs	1.50732169761246E-05	
Koff	0	
Error Koff	0	
Time1	Data1	Fit1	
480.02	-0.08574175	0	
480.22	-0.08460478	0.00000899	
480.42	-0.08360121	0.00001798	
480.62	-0.08446332	0.00002697	
480.82	-0.08406073	0.00003595	
481.02	-0.08329312	0.00004493	
481.22	-0.08256902	0.00005391	
481.42	-0.08180403	0.00006289	
481.62	-0.08085592	0.00007186	
481.82	-0.08075949	0.00008084	
482.02	-0.07981909	0.00008981	
482.22	-0.07980402	0.00009878	
482.42	-0.07950404	0.00010774	
482.62	-0.07946064	0.00011671	
482.82	-0.07865953	0.00012567	
483.02	-0.08030622	0.00013463	
483.22	-0.08031298	0.00014359	
483.42	-0.07945743	0.00015254	
483.62	-0.07965241	0.0001615	
483.82	-0.08088937	0.00017045	
484.02	-0.08016201	0.0001794	
484.22	-0.07946497	0.00018834	
484.42	-0.07982862	0.00019729	
484.62	-0.08119076	0.00020623	
484.82	-0.08131521	0.00021517	
485.02	-0.08086034	0.00022411	
485.22	-0.07986875	0.00023305	
485.42	-0.08029812	0.00024198	
485.62	-0.0804952	0.00025091	
485.82	-0.08057048	0.00025984	
486.02	-0.08022726	0.00026877	
486.22	-0.08180168	0.00027769	
486.42	-0.08190314	0.00028662	
486.62	-0.08060319	0.00029554	
486.82	-0.08024236	0.00030446	
487.02	-0.0807712	0.00031337	
487.22	-0.07994534	0.00032229	
487.42	-0.07983253	0.0003312	
487.62	-0.08029502	0.00034011	
487.82	-0.08041312	0.00034902	
488.02	-0.08103175	0.00035792	
488.22	-0.0806965	0.00036683	
488.42	-0.08031551	0.00037573	
488.62	-0.08140537	0.00038463	
488.82	-0.08231184	0.00039353	
489.02	-0.08171349	0.00040242	
489.22	-0.08159141	0.00041131	
489.42	-0.08270553	0.0004202	
489.62	-0.08225754	0.00042909	
489.82	-0.0819667	0.00043798	
490.02	-0.08175024	0.00044686	
490.22	-0.08201942	0.00045574	
490.42	-0.08144547	0.00046462	
490.62	-0.08101632	0.0004735	
490.82	-0.08002897	0.00048238	
491.02	-0.07953636	0.00049125	
491.22	-0.0793853	0.00050012	
491.42	-0.07957732	0.00050899	
491.62	-0.07833805	0.00051786	
491.82	-0.07897683	0.00052672	
492.02	-0.07914285	0.00053558	
492.22	-0.07794837	0.00054445	
492.42	-0.07749472	0.0005533	
492.62	-0.07769682	0.00056216	
492.82	-0.07765	0.00057101	
493.02	-0.07831783	0.00057986	
493.22	-0.07787749	0.00058871	
493.42	-0.07781118	0.00059756	
493.62	-0.07861759	0.00060641	
493.82	-0.07940926	0.00061525	
494.02	-0.07916299	0.00062409	
494.22	-0.08064468	0.00063293	
494.42	-0.08177082	0.00064177	
494.62	-0.08126818	0.0006506	
494.82	-0.08092862	0.00065943	
495.02	-0.0816145	0.00066826	
495.22	-0.0811907	0.00067709	
495.42	-0.08115736	0.00068592	
495.62	-0.08009198	0.00069474	
495.82	-0.08035394	0.00070356	
496.02	-0.07984073	0.00071238	
496.22	-0.08028955	0.0007212	
496.42	-0.07889791	0.00073002	
496.62	-0.07852827	0.00073883	
496.82	-0.0792718	0.00074764	
497.02	-0.07917671	0.00075645	
497.22	-0.07735904	0.00076525	
497.42	-0.07751976	0.00077406	
497.62	-0.07813376	0.00078286	
497.82	-0.0776996	0.00079166	
498.02	-0.07719851	0.00080046	
498.22	-0.07695314	0.00080926	
498.42	-0.07587164	0.00081805	
498.62	-0.07595683	0.00082684	
498.82	-0.07592245	0.00083563	
499.02	-0.07528765	0.00084442	
499.22	-0.07538398	0.0008532	
499.42	-0.07585716	0.00086199	
499.62	-0.07498966	0.00087077	
499.82	-0.07550324	0.00087955	
500.02	-0.076483	0.00088832	
500.22	-0.0770126	0.0008971	
500.42	-0.0765667	0.00090587	
500.62	-0.07712853	0.00091464	
500.82	-0.07734156	0.00092341	
501.02	-0.07720244	0.00093217	
501.22	-0.0768057	0.00094094	
501.42	-0.07686976	0.0009497	
501.62	-0.07763025	0.00095846	
501.82	-0.07856998	0.00096722	
502.02	-0.07763915	0.00097597	
502.22	-0.07686152	0.00098473	
502.42	-0.07790599	0.00099348	
502.62	-0.0784449	0.00100223	
502.82	-0.07690837	0.00101097	
503.02	-0.07756597	0.00101972	
503.22	-0.07799809	0.00102846	
503.42	-0.07821578	0.0010372	
503.62	-0.0779265	0.00104594	
503.82	-0.07751988	0.00105467	
504.02	-0.07682325	0.00106341	
504.22	-0.0772383	0.00107214	
504.42	-0.07713378	0.00108087	
504.62	-0.07619238	0.0010896	
504.82	-0.07636964	0.00109832	
505.02	-0.07697511	0.00110705	
505.22	-0.07657607	0.00111577	
505.42	-0.07648564	0.00112449	
505.62	-0.07682405	0.0011332	
505.82	-0.07688506	0.00114192	
506.02	-0.07570143	0.00115063	
506.22	-0.07596939	0.00115934	
506.42	-0.07610106	0.00116805	
506.62	-0.07573047	0.00117676	
506.82	-0.0756262	0.00118546	
507.02	-0.07595288	0.00119417	
507.22	-0.0756344	0.00120287	
507.42	-0.07748463	0.00121156	
507.62	-0.07678399	0.00122026	
507.82	-0.0755458	0.00122895	
508.02	-0.07488334	0.00123764	
508.22	-0.07556858	0.00124633	
508.42	-0.07425735	0.00125502	
508.62	-0.07389347	0.00126371	
508.82	-0.0741434	0.00127239	
509.02	-0.07430153	0.00128107	
509.22	-0.0744243	0.00128975	
509.42	-0.07399166	0.00129843	
509.62	-0.07378203	0.0013071	
509.82	-0.07521879	0.00131577	
510.02	-0.07598919	0.00132445	
510.22	-0.0753787	0.00133311	
510.42	-0.07562954	0.00134178	
510.62	-0.07665476	0.00135044	
510.82	-0.07672994	0.00135911	
511.02	-0.07720348	0.00136777	
511.22	-0.07791173	0.00137642	
511.42	-0.07874314	0.00138508	
511.62	-0.07734394	0.00139373	
511.82	-0.07646155	0.00140239	
512.02	-0.07573227	0.00141104	
512.22	-0.07661809	0.00141968	
512.42	-0.0762194	0.00142833	
512.62	-0.07657767	0.00143697	
512.82	-0.07554257	0.00144561	
513.02	-0.07687794	0.00145425	
513.22	-0.07719618	0.00146289	
513.42	-0.0768493	0.00147152	
513.62	-0.07660053	0.00148016	
513.82	-0.07694404	0.00148879	
514.02	-0.07567677	0.00149741	
514.22	-0.07458845	0.00150604	
514.42	-0.07419647	0.00151467	
514.62	-0.07390568	0.00152329	
514.82	-0.074342	0.00153191	
515.02	-0.07474009	0.00154053	
515.22	-0.07304434	0.00154914	
515.42	-0.07254935	0.00155776	
515.62	-0.07241925	0.00156637	
515.82	-0.07178931	0.00157498	
516.02	-0.07171636	0.00158358	
516.22	-0.0725082	0.00159219	
516.42	-0.07241699	0.00160079	
516.62	-0.07308431	0.00160939	
516.82	-0.0727103	0.00161799	
517.02	-0.07408755	0.00162659	
517.22	-0.07426241	0.00163519	
517.42	-0.07455242	0.00164378	
517.62	-0.0737094	0.00165237	
517.82	-0.07402137	0.00166096	
518.02	-0.07469698	0.00166954	
518.22	-0.07506953	0.00167813	
518.42	-0.07398896	0.00168671	
518.62	-0.07546742	0.00169529	
518.82	-0.0759461	0.00170387	
519.02	-0.07493444	0.00171245	
519.22	-0.07291339	0.00172102	
519.42	-0.07299707	0.00172959	
519.62	-0.0722475	0.00173816	
519.82	-0.07220356	0.00174673	
520.02	-0.07172733	0.0017553	
