Conc1	3E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0244122055182017	
Error Kobs	0.000543305785284273	
Koff	0.013539325110722	
Error Koff	0.00013834575812609	
Time1	Data1	Fit1	
480.02	0.05671165	0.05671165	
480.22	0.05692515	0.05732796	
480.42	0.05705471	0.05794127	
480.62	0.05763828	0.05855159	
480.82	0.05814765	0.05915894	
481.02	0.0584551	0.05976334	
481.22	0.05905984	0.06036478	
481.42	0.05976943	0.0609633	
481.62	0.06033352	0.06155891	
481.82	0.06092553	0.06215161	
482.02	0.06205019	0.06274142	
482.22	0.06287497	0.06332837	
482.42	0.06368447	0.06391245	
482.62	0.0646122	0.06449369	
482.82	0.0649175	0.0650721	
483.02	0.06577029	0.06564769	
483.22	0.06664511	0.06622048	
483.42	0.06809166	0.06679048	
483.62	0.06857721	0.0673577	
483.82	0.06994005	0.06792216	
484.02	0.0708043	0.06848387	
484.22	0.07239797	0.06904284	
484.42	0.07320459	0.06959909	
484.62	0.07393226	0.07015264	
484.82	0.07477543	0.07070348	
485.02	0.07502744	0.07125165	
485.22	0.07591496	0.07179714	
485.42	0.07651484	0.07233998	
485.62	0.07639286	0.07288017	
485.82	0.07735642	0.07341773	
486.02	0.07786667	0.07395267	
486.22	0.07835685	0.07448501	
486.42	0.07895028	0.07501476	
486.62	0.07949904	0.07554192	
486.82	0.08006993	0.07606652	
487.02	0.0809331	0.07658856	
487.22	0.08142909	0.07710806	
487.42	0.08264833	0.07762503	
487.62	0.08312237	0.07813948	
487.82	0.0840999	0.07865143	
488.02	0.08470139	0.07916088	
488.22	0.08598108	0.07966785	
488.42	0.08609001	0.08017236	
488.62	0.08696547	0.0806744	
488.82	0.08822377	0.081174	
489.02	0.08909692	0.08167117	
489.22	0.08989193	0.08216591	
489.42	0.0909651	0.08265825	
489.62	0.09176245	0.08314818	
489.82	0.09366138	0.08363574	
490.02	0.09364165	0.08412091	
490.22	0.09421528	0.08460373	
490.42	0.09482041	0.08508419	
490.62	0.09583548	0.08556231	
490.82	0.09614408	0.0860381	
491.02	0.09656332	0.08651158	
491.22	0.09704419	0.08698275	
491.42	0.09768918	0.08745162	
491.62	0.0979544	0.08791821	
491.82	0.09825427	0.08838253	
492.02	0.09846053	0.08884459	
492.22	0.09854674	0.08930439	
492.42	0.09875692	0.08976196	
492.62	0.09946732	0.0902173	
492.82	0.10003304	0.09067042	
493.02	0.10055396	0.09112133	
493.22	0.10082855	0.09157005	
493.42	0.10226439	0.09201658	
493.62	0.10274119	0.09246094	
493.82	0.10350669	0.09290313	
494.02	0.10315836	0.09334317	
494.22	0.10365477	0.09378107	
494.42	0.10471777	0.09421683	
494.62	0.10516491	0.09465047	
494.82	0.10502317	0.095082	
495.02	0.1058901	0.09551143	
495.22	0.1061824	0.09593876	
495.42	0.10674747	0.09636402	
495.62	0.10730871	0.0967872	
495.82	0.10732659	0.09720832	
496.02	0.10681764	0.09762739	
496.22	0.10754393	0.09804442	
496.42	0.10837638	0.09845942	
496.62	0.10903131	0.0988724	
496.82	0.10945921	0.09928336	
497.02	0.11033956	0.09969233	
497.22	0.11131426	0.1000993	
497.42	0.11240234	0.10050429	
497.62	0.1130966	0.1009073	
497.82	0.11344437	0.10130836	
498.02	0.11421798	0.10170746	
498.22	0.11467654	0.10210462	
498.42	0.1150417	0.10249984	
498.62	0.11503417	0.10289314	
498.82	0.11474948	0.10328452	
499.02	0.11484523	0.103674	
499.22	0.11493367	0.10406158	
499.42	0.1153471	0.10444727	
499.62	0.11528815	0.10483108	
499.82	0.11539063	0.10521302	
500.02	0.11547831	0.10559311	
500.22	0.11711361	0.10597134	
500.42	0.11725974	0.10634773	
500.62	0.11808861	0.10672229	
500.82	0.11816118	0.10709502	
501.02	0.11922435	0.10746594	
501.22	0.11965546	0.10783505	
501.42	0.12006993	0.10820236	
501.62	0.1207798	0.10856788	
501.82	0.12089804	0.10893163	
502.02	0.12162715	0.1092936	
502.22	0.121558	0.10965381	
502.42	0.1219686	0.11001226	
502.62	0.12223973	0.11036897	
502.82	0.12183722	0.11072394	
503.02	0.12218269	0.11107718	
503.22	0.12276773	0.1114287	
503.42	0.12293247	0.11177851	
503.62	0.12339174	0.11212662	
503.82	0.12388002	0.11247303	
504.02	0.12420201	0.11281775	
504.22	0.12510462	0.1131608	
504.42	0.12498337	0.11350217	
504.62	0.12505204	0.11384188	
504.82	0.12547625	0.11417994	
505.02	0.12567363	0.11451635	
505.22	0.12580064	0.11485112	
505.42	0.12629243	0.11518426	
505.62	0.12710835	0.11551578	
505.82	0.12712233	0.11584568	
506.02	0.12736969	0.11617398	
506.22	0.12809711	0.11650067	
506.42	0.12832746	0.11682578	
506.62	0.12875221	0.1171493	
506.82	0.1293668	0.11747125	
507.02	0.13019958	0.11779163	
507.22	0.13060388	0.11811045	
507.42	0.13080936	0.11842771	
507.62	0.13095478	0.11874343	
507.82	0.13081222	0.11905762	
508.02	0.13057151	0.11937027	
508.22	0.13058427	0.1196814	
508.42	0.13099198	0.11999101	
508.62	0.13133657	0.12029912	
508.82	0.13125119	0.12060573	
509.02	0.13069879	0.12091084	
509.22	0.13106486	0.12121446	
509.42	0.13116504	0.12151661	
509.62	0.1307673	0.12181729	
509.82	0.13103051	0.1221165	
510.02	0.13151988	0.12241425	
510.22	0.13200667	0.12271056	
510.42	0.13210072	0.12300542	
510.62	0.13281528	0.12329884	
510.82	0.13308651	0.12359084	
511.02	0.13338503	0.12388141	
511.22	0.1340184	0.12417057	
511.42	0.13435594	0.12445832	
511.62	0.13487364	0.12474467	
511.82	0.13541535	0.12502962	
512.02	0.1359837	0.12531319	
512.22	0.13656477	0.12559537	
512.42	0.137483	0.12587618	
512.62	0.13787859	0.12615563	
512.82	0.13790095	0.12643371	
513.02	0.13828911	0.12671043	
513.22	0.13819498	0.12698581	
513.42	0.13821699	0.12725985	
513.62	0.13803908	0.12753255	
513.82	0.1382246	0.12780393	
514.02	0.13766453	0.12807398	
514.22	0.13758698	0.12834272	
514.42	0.13691546	0.12861015	
514.62	0.13646921	0.12887628	
514.82	0.1364498	0.12914111	
515.02	0.1375876	0.12940465	
515.22	0.13806532	0.1296669	
515.42	0.13852254	0.12992788	
515.62	0.13893678	0.13018759	
515.82	0.13909052	0.13044604	
516.02	0.13931918	0.13070322	
516.22	0.13914042	0.13095915	
516.42	0.13987581	0.13121384	
516.62	0.14076875	0.13146728	
516.82	0.14100038	0.1317195	
517.02	0.14087457	0.13197048	
517.22	0.14097131	0.13222024	
517.42	0.14134966	0.13246878	
517.62	0.14113902	0.13271611	
517.82	0.14160979	0.13296224	
518.02	0.1417727	0.13320717	
518.22	0.14217418	0.13345091	
518.42	0.14179951	0.13369346	
518.62	0.14210278	0.13393483	
518.82	0.14247187	0.13417502	
519.02	0.14307267	0.13441404	
519.22	0.14320721	0.1346519	
519.42	0.14361912	0.1348886	
519.62	0.14351372	0.13512415	
519.82	0.14343898	0.13535855	
520.02	0.14367206	0.13559181	
520.22	0.14336593	0.13582393	
520.42	0.14392221	0.13605492	
520.62	0.14407998	0.13628479	
520.82	0.14386605	0.13651353	
521.02	0.14373156	0.13674117	
