Conc1	1E-06	
Start1	480.02	
Stop1	5779.82	
Kobs	0.0160451028345501	
Error Kobs	0.000303409825786495	
Koff	0.0239410401360881	
Error Koff	0.000717833264524889	
Time1	Data1	Fit1	
480.02	-0.0089422	-0.0089422	
480.22	-0.00927342	-0.00876922	
480.42	-0.00993174	-0.00859679	
480.62	-0.00984244	-0.00842491	
480.82	-0.01019144	-0.00825358	
481.02	-0.01036796	-0.0080828	
481.22	-0.01060509	-0.00791257	
481.42	-0.01081255	-0.00774288	
481.62	-0.01092462	-0.00757374	
481.82	-0.01078904	-0.00740514	
482.02	-0.01078856	-0.00723708	
482.22	-0.01094309	-0.00706955	
482.42	-0.01029813	-0.00690257	
482.62	-0.00912357	-0.00673612	
482.82	-0.00892589	-0.0065702	
483.02	-0.00912832	-0.00640482	
483.22	-0.009256	-0.00623996	
483.42	-0.00880901	-0.00607563	
483.62	-0.00862209	-0.00591183	
483.82	-0.00870952	-0.00574855	
484.02	-0.00884168	-0.0055858	
484.22	-0.00832936	-0.00542357	
484.42	-0.007682	-0.00526186	
484.62	-0.00649089	-0.00510066	
484.82	-0.0068228	-0.00493998	
485.02	-0.00603389	-0.00477982	
485.22	-0.00571827	-0.00462017	
485.42	-0.00575793	-0.00446103	
485.62	-0.00566073	-0.0043024	
485.82	-0.00493127	-0.00414428	
486.02	-0.0045664	-0.00398667	
486.22	-0.00463563	-0.00382956	
486.42	-0.00406093	-0.00367296	
486.62	-0.00416505	-0.00351685	
486.82	-0.00445496	-0.00336125	
487.02	-0.00480118	-0.00320615	
487.22	-0.00525678	-0.00305154	
487.42	-0.0052384	-0.00289743	
487.62	-0.00556523	-0.00274381	
487.82	-0.00609241	-0.00259068	
488.02	-0.00610398	-0.00243804	
488.22	-0.00588606	-0.0022859	
488.42	-0.0055209	-0.00213424	
488.62	-0.00527659	-0.00198306	
488.82	-0.00532541	-0.00183237	
489.02	-0.00431835	-0.00168217	
489.22	-0.00435216	-0.00153244	
489.42	-0.00434782	-0.0013832	
489.62	-0.00417107	-0.00123443	
489.82	-0.00347931	-0.00108614	
490.02	-0.00364155	-0.00093832	
490.22	-0.00370116	-0.00079098	
490.42	-0.00366024	-0.00064411	
490.62	-0.00316469	-0.00049771	
490.82	-0.00268134	-0.00035178	
491.02	-0.00281948	-0.00020632	
491.22	-0.00278604	-0.00006132	
491.42	-0.00230132	0.00008321	
491.62	-0.00175365	0.00022728	
491.82	-0.00160799	0.00037089	
492.02	-0.00158759	0.00051403	
492.22	-0.00225114	0.00065672	
492.42	-0.00173287	0.00079895	
492.62	-0.00146196	0.00094073	
492.82	-0.00177148	0.00108205	
493.02	-0.00170659	0.00122292	
493.22	-0.00197041	0.00136334	
493.42	-0.0022206	0.00150331	
493.62	-0.00211117	0.00164283	
493.82	-0.00169144	0.0017819	
494.02	-0.00143649	0.00192053	
494.22	-0.00114894	0.00205871	
494.42	-0.00106888	0.00219645	
494.62	-0.00020027	0.00233375	
494.82	0.00017819	0.00247061	
495.02	0.00134275	0.00260703	
495.22	0.00137528	0.00274301	
495.42	0.00175214	0.00287856	
