Conc1	1.111E-07	
Start1	480.02	
Stop1	5779.82	
Kobs		
Error Kobs		
Koff		
Error Koff		
Time1	Data1	Fit1	
480.02	0.00740377		
480.22	0.00722597		
480.42	0.00682928		
480.62	0.00572816		
480.82	0.00576729		
481.02	0.00552864		
481.22	0.00459467		
481.42	0.00469438		
481.62	0.00462631		
481.82	0.00411664		
482.02	0.00432016		
482.22	0.00424258		
482.42	0.00478072		
482.62	0.00469401		
482.82	0.00529682		
483.02	0.00596018		
483.22	0.00631141		
483.42	0.00576155		
483.62	0.00509652		
483.82	0.00439679		
484.02	0.00507902		
484.22	0.0049324		
484.42	0.00424949		
484.62	0.00414086		
484.82	0.00515404		
485.02	0.00483599		
485.22	0.00436649		
485.42	0.00480843		
485.62	0.00417914		
485.82	0.00379437		
486.02	0.00415729		
486.22	0.00332047		
486.42	0.00336796		
486.62	0.00284013		
486.82	0.00244187		
487.02	0.00122505		
487.22	0.00124791		
487.42	0.00086666		
487.62	0.00092655		
487.82	0.00091301		
488.02	0.00114298		
488.22	0.00115122		
488.42	0.00151831		
488.62	0.0018448		
488.82	0.00218982		
489.02	0.00239844		
489.22	0.00264242		
489.42	0.0028717		
489.62	0.00313189		
489.82	0.00368138		
490.02	0.00419882		
490.22	0.0036176		
490.42	0.00405878		
490.62	0.00350206		
490.82	0.00330897		
491.02	0.00343447		
491.22	0.00349701		
491.42	0.00316335		
491.62	0.00320634		
491.82	0.00276777		
492.02	0.00292035		
492.22	0.00360568		
492.42	0.00344228		
492.62	0.003441		
492.82	0.00407834		
493.02	0.00424675		
493.22	0.00480072		
493.42	0.00540711		
493.62	0.00560673		
493.82	0.00588894		
494.02	0.0063683		
494.22	0.00576765		
494.42	0.00582001		
494.62	0.00533643		
494.82	0.00519979		
495.02	0.00469483		
495.22	0.00406521		
495.42	0.00382819		
495.62	0.00379713		
495.82	0.00381515		
496.02	0.00399125		
496.22	0.00419963		
496.42	0.00405062		
496.62	0.0042822		
496.82	0.00378332		
497.02	0.00386899		
497.22	0.00506016		
497.42	0.00494908		
497.62	0.00510469		
497.82	0.00540544		
498.02	0.00559776		
498.22	0.0053433		
498.42	0.00502056		
498.62	0.00474197		
498.82	0.00472963		
499.02	0.00488423		
499.22	0.00498638		
499.42	0.00434213		
499.62	0.00456872		
499.82	0.00412392		
500.02	0.00371863		
500.22	0.00418812		
500.42	0.00467272		
500.62	0.00394846		
500.82	0.0039205		
501.02	0.00462996		
501.22	0.00465933		
501.42	0.00446797		
501.62	0.0049181		
501.82	0.00473717		
502.02	0.0051285		
502.22	0.00514123		
502.42	0.00465188		
502.62	0.00445126		
502.82	0.0051792		
503.02	0.0053759		
503.22	0.00522025		
503.42	0.00520101		
503.62	0.00536637		
503.82	0.00479899		
504.02	0.00501545		
504.22	0.00550579		
504.42	0.00548179		
504.62	0.00525034		
504.82	0.00547321		
505.02	0.00489148		
505.22	0.00496516		
505.42	0.00549288		
505.62	0.00510605		
505.82	0.00502013		
506.02	0.00522055		
506.22	0.00496431		
506.42	0.00508719		
506.62	0.00520818		
506.82	0.00531924		
507.02	0.00516154		
507.22	0.00523336		
507.42	0.00485235		
507.62	0.00478472		
507.82	0.00525076		
508.02	0.00506275		
508.22	0.00507439		
508.42	0.00616768		
508.62	0.00641877		
508.82	0.00606832		
509.02	0.00654728		
509.22	0.00719404		
509.42	0.00699825		
509.62	0.0064743		
509.82	0.00597725		
510.02	0.00567457		
510.22	0.00613421		
510.42	0.00598252		
510.62	0.00500017		
510.82	0.00460899		
511.02	0.00507861		
511.22	0.00471224		
511.42	0.00434239		
511.62	0.00486847		
511.82	0.00513638		
512.02	0.00452171		
512.22	0.00562612		
512.42	0.00645469		
512.62	0.00643729		
512.82	0.00708869		
513.02	0.00719261		
513.22	0.00708456		
513.42	0.00687942		
513.62	0.00631959		
513.82	0.0059148		
514.02	0.00624985		
514.22	0.0067889		
514.42	0.00697273		
514.62	0.00682928		
514.82	0.00698622		
515.02	0.0068267		
515.22	0.00620777		
515.42	0.00561636		
515.62	0.00554025		
515.82	0.00532762		
516.02	0.00552959		
516.22	0.00617999		
516.42	0.00555003		
516.62	0.00578192		
516.82	0.00524852		
517.02	0.00464719		
517.22	0.00525947		
517.42	0.00473957		
517.62	0.00474781		
517.82	0.00517529		
518.02	0.00550424		
518.22	0.00598744		
518.42	0.0065596		
518.62	0.00573739		
518.82	0.00492319		
519.02	0.00504844		
519.22	0.00479136		
519.42	0.00395592		
519.62	0.00449445		
519.82	0.00464679		
520.02	0.0051164		
520.22	0.00488973		
520.42	0.00520636		
520.62	0.0053708		
520.82	0.00566999		
521.02	0.00613543		
521.22	0.00631276		
521.42	0.00631098		
521.62	0.00700557		
521.82	0.00679539		
522.02	0.00715755		
522.22	0.00730245		
522.42	0.00724863		
522.62	0.00602802		
522.82	0.00584962		
523.02	0.00546358		
523.22	0.00495872		
523.42	0.00430282		
523.62	0.00468317		
523.82	0.00392705		
524.02	0.00404345		
524.22	0.00392372		
524.42	0.00364037		
524.62	0.00358355		
524.82	0.00393311		
525.02	0.00382665		
525.22	0.00408053		
525.42	0.00479972		
525.62	0.00509153		
525.82	0.00591526		
526.02	0.00662086		
526.22	0.00635359		
526.42	0.00630256		
526.62	0.00588907		
526.82	0.0061213		
527.02	0.00570111		
527.22	0.00565359		
527.42	0.00490122		
527.62	0.00451794		
527.82	0.0039811		
528.02	0.00356168		
528.22	0.00258225		
528.42	0.00213754		
528.62	0.00235367		
528.82	0.00230682		
529.02	0.00262185		
529.22	0.00297599		
529.42	0.00357896		
529.62	0.00446822		
529.82	0.00528739		
530.02	0.00569103		
530.22	0.0067244		
530.42	0.00777969		
530.62	0.00822261		
530.82	0.00891525		
531.02	0.00900771		
531.22	0.00917829		
531.42	0.00924902		
531.62	0.00985068		
531.82	0.00953879		
532.02	0.00915506		
532.22	0.00868416		
532.42	0.00811497		
532.62	0.0074464		
532.82	0.00748404		
533.02	0.00700413		
533.22	0.00685219		
533.42	0.00683559		
533.62	0.00680822		
533.82	0.00587486		
534.02	0.00652752		
534.22	0.00619532		
534.42	0.00575492		
534.62	0.00546683		
534.82	0.0058365		
535.02	0.0050986		
535.22	0.00531465		
535.42	0.00551783		
535.62	0.00601319		
535.82	0.00611014		
536.02	0.0064791		
536.22	0.00614718		
536.42	0.00645894		
536.62	0.00682693		
536.82	0.00744792		
537.02	0.00779219		
537.22	0.00814194		
537.42	0.00749925		
537.62	0.00726739		
537.82	0.00702006		
538.02	0.00681122		
538.22	0.00579056		
538.42	0.00611567		
538.62	0.00646285		
538.82	0.00675859		
539.02	0.00633369		
539.22	0.00676821		
539.42	0.0070449		
539.62	0.00760123		
539.82	0.00762559		
540.02	0.00769484		
540.22	0.00806452		
540.42	0.008234		
540.62	0.00794582		
540.82	0.00841267		
541.02	0.00871759		
541.22	0.00797066		
541.42	0.00701499		
541.62	0.00732778		
541.82	0.00660246		
542.02	0.00631327		
542.22	0.00696816		
542.42	0.00742449		
542.62	0.00766737		
542.82	0.00778869		
543.02	0.00722616		
543.22	0.00719217		
543.42	0.00766385		
543.62	0.0079523		
543.82	0.00771557		
544.02	0.00838843		
